83	89	74	182
83	89	73	182
79	83	74	188
77	86	74	185
77	85	75	186
79	87	75	184
80	82	75	189
78	83	76	188
77	87	75	184
77	92	75	179
80	86	75	185
82	85	75	186
82	95	75	176
78	90	78	181
77	90	77	181
80	95	75	176
83	93	74	178
83	88	74	183
83	94	72	177
84	89	72	182
84	87	71	184
87	89	70	182
88	96	68	175
86	91	69	180
86	89	69	182
88	94	65	177
91	94	62	177
95	102	60	169
98	103	57	168
102	86	56	185
103	84	55	187
101	91	56	180
102	89	58	182
103	80	68	191
104	87	81	184
105	91	89	180
101	78	98	193
99	78	99	193
98	80	101	191
98	77	99	194
101	71	97	200
105	78	93	193
111	86	89	185
121	81	83	190
131	77	76	194
142	76	71	195
157	79	63	192
163	79	65	192
164	76	68	195
163	75	74	196
161	84	79	187
162	78	88	193
161	81	94	190
160	74	100	197
163	74	99	197
170	72	96	199
182	77	88	194
192	76	82	195
203	74	75	197
216	65	67	206
225	67	65	204
229	65	64	206
233	72	67	199
236	71	79	200
237	66	92	205
237	69	104	202
237	75	109	196
237	74	110	197
236	73	113	198
237	72	112	199
243	73	106	198
249	73	100	198
257	72	94	199
271	80	85	191
284	83	78	188
290	79	78	192
294	75	79	196
297	74	81	197
302	72	80	199
307	77	81	194
312	73	81	198
316	68	81	203
318	74	83	197
319	65	87	206
322	55	89	216
328	60	87	211
338	66	83	205
346	64	79	207
349	67	80	204
352	70	82	201
355	67	83	204
361	64	84	207
366	63	85	208
368	63	92	208
373	57	98	214
377	57	99	214
383	59	95	212
388	56	92	215
391	51	93	220
393	55	98	216
399	60	100	211
404	64	101	207
413	58	97	213
415	65	95	206
419	66	91	205
424	56	86	215
428	58	82	213
432	61	78	210
433	60	77	211
434	62	76	209
437	62	73	209
440	57	70	214
443	62	67	209
443	64	67	207
440	64	70	207
437	65	73	206
436	73	74	198
436	75	75	196
437	71	73	200
437	75	73	195
437	75	73	196
436	72	74	199
435	75	75	196
436	75	74	196
437	72	73	199
438	72	72	199
440	74	70	197
441	74	69	197
440	76	70	195
437	80	73	191
436	85	74	186
437	85	73	186
439	86	71	185
439	86	71	185
436	84	74	187
433	85	77	186
423	83	87	188
418	81	92	190
417	80	93	191
418	79	92	192
417	80	91	191
414	81	87	190
411	83	84	188
407	85	85	186
405	93	86	178
402	92	86	179
398	91	86	180
391	92	85	179
385	92	85	179
381	90	85	181
378	91	85	180
377	90	84	181
373	91	84	180
367	90	83	181
363	90	81	181
359	93	81	178
357	92	81	179
356	100	81	171
353	96	80	175
348	99	79	172
343	97	79	174
341	98	80	173
341	97	79	174
338	96	79	175
331	96	82	175
325	97	83	174
324	96	81	175
325	96	79	175
322	96	78	175
319	98	77	173
315	95	78	176
313	97	77	174
310	107	78	164
305	104	78	167
301	104	78	167
300	107	78	164
298	107	78	164
296	105	79	166
295	103	78	168
294	103	78	168
292	104	79	167
291	104	77	167
289	104	77	167
288	102	77	169
289	102	76	169
289	104	76	167
290	108	76	163
289	111	75	160
287	108	76	163
288	108	75	163
289	108	75	163
291	104	75	167
291	104	75	167
289	105	75	166
287	104	74	167
286	103	74	168
289	102	73	169
291	102	73	169
292	103	73	168
291	103	73	168
290	107	72	164
291	108	72	163
292	108	72	163
295	103	73	168
298	104	73	167
299	108	73	163
299	105	73	166
299	105	73	166
300	107	73	164
304	105	72	166
307	105	71	166
308	107	71	164
308	107	71	164
311	106	69	165
313	106	70	165
315	110	69	161
316	110	68	161
316	113	69	158
318	111	69	160
321	110	68	161
323	110	68	161
324	110	68	161
322	112	69	159
320	112	69	159
320	113	68	158
321	113	68	158
325	111	67	160
326	111	67	160
324	117	67	154
322	119	68	152
321	116	67	155
322	116	67	155
323	120	68	151
323	116	67	155
323	114	68	157
324	115	68	156
324	115	67	156
324	112	66	159
323	113	67	158
326	114	66	157
326	111	65	160
325	114	64	157
325	118	64	153
325	123	65	148
327	138	63	133
